bod,odecet_m,vzdalenost_m
1,1.337,
1,1.345,
1,1.346,17.4364
1,1.337,16.103
1,1.668,16.103
2,1.665,16.103
2,1.665,7.4397
1,1.668,17.6601
2,1.999,17.6601
3,1.986,17.6601
3,1.986,7.2223
2,1.999,22.9502
3,2.233,22.9502
4,2.214,22.9502
4,2.215,4.2149
3,2.232,24.7353
4,1.987,24.7353
5,1.995,24.7353
5,1.996,6.4474
4,1.987,24.977
5,2.047,24.977
5,2.006,24.977
6,2.024,24.977
6,2.025,6.2965
5,2.005,6.2965
6,2.024,6.2965
6,2.025,6.2957
5,2.005,26.1068
6,1.98,26.1068
7,2.004,26.1068
7,2.009,26.1068
7,2.01,5.7709
6,1.979,25.3538
7,1.47,25.3538
361,1.468,25.3538
361,1.468,6.1574
7,1.471,25.3222
361,1.468,25.3222
8,1.469,25.3222
8,1.469,25.3221
361,1.468,6.1578
8,2.0,6.1578
9,1.989,6.1578
9,1.989,25.4322
8,2.0,5.8514
9,1.984,5.8514
9,2.048,5.8514
10,1.985,5.8514
10,1.985,25.517
9,2.049,5.7054
10,1.982,5.7054
11,2.001,5.7054
11,2.001,24.4099
10,1.982,5.8798
11,2.207,5.8798
12,2.24,5.8798
12,2.24,24.9814
11,2.207,24.9814
12,2.239,24.9814
12,2.24,24.981
11,2.208,4.4608
12,1.982,4.4608
13,2.004,4.4608
13,2.005,22.7334
12,1.982,7.0041
13,1.653,7.0041
13,1.685,7.0041
14,1.648,7.0041
14,1.649,17.2608
13,1.685,17.2608
14,1.648,17.2608
14,1.648,17.2612
13,1.685,7.0408
14,1.34,7.0408
15,1.364,7.0408
15,1.364,15.0253
351,1.364,15.0253
351,1.364,15.0242
14,1.341,16.3592
351,1.121,16.3592
351,1.091,16.3592
1,1.078,16.3592
1,1.079,26.7057
351,1.092,4.1816
1,1.439,4.1816
1,1.401,4.1816
1,1.5,4.1816
2,1.467,4.1816
2,1.467,20.4135
1,1.5,6.8298
2,1.97,6.8298
3,1.995,6.8298
3,1.995,22.7154
2,1.97,6.8872
3,2.0,6.8872
4,2.019,6.8872
4,2.019,22.1225
3,1.999,8.3641
4,1.977,8.3641
5,2.0,8.3641
5,2.0,23.4633
4,1.977,7.1181
5,1.985,7.1181
6,1.987,7.1181
6,1.987,24.5331
5,1.985,5.7994
6,2.973,5.7994
7,2.987,5.7994
7,2.987,23.6279
6,2.973,6.8183
7,1.623,6.8183
7,1.546,6.8183
8,1.544,6.8183
8,1.544,20.4264
7,1.545,9.1761
8,1.707,9.1761
9,1.686,9.1761
9,1.686,21.0423
8,1.707,9.5913
9,1.682,9.5913
10,1.698,9.5913
10,1.698,21.7122
9,1.682,9.848
10,1.706,9.848
11,1.688,9.848
11,1.688,21.8859
10,1.706,8.8974
11,1.673,8.8974
12,1.695,8.8974
12,1.695,21.2618
11,1.673,9.8473
12,1.705,9.8473
13,1.676,9.8473
13,1.676,19.9326
12,1.705,9.5108
13,1.969,9.5108
14,2.006,9.5108
14,2.006,20.9616
13,1.969,8.2297
14,2.992,8.2297
15,2.971,8.2297
15,2.97,22.3159
14,2.992,7.1924
15,1.293,7.1924
15,1.34,7.1924
341,1.312,7.1924
341,1.312,15.0388
15,1.34,13.7422
